NoExemplaire;NoUtilisateur;DateEmprunt
18100101;3;2018-10-01
18100201;4;2018-10-01
18100301;6;2018-10-01
18100401;6;2018-10-01
18100501;2;2018-10-02
18100601;2;2018-10-02
18100701;3;2018-10-05
18100801;4;2018-10-07
18100901;3;2018-10-09
18101001;3;2018-10-10
18101101;6;2018-10-11
18101201;4;2018-10-23
18101301;2;2018-10-24
18101401;2;2018-10-24
18110101;3;2018-11-01
18110201;3;2018-11-02
18110301;3;2018-11-03
18110401;6;2018-11-08
18110501;3;2018-11-13
18110601;3;2018-11-14
18110701;2;2018-11-15
18110801;3;2018-11-16
18110901;3;2018-11-17
18111001;2;2018-11-17
18111101;6;2018-11-18
18111201;4;2018-11-19
18111301;3;2018-11-20
18111401;3;2018-11-21
18111501;6;2018-11-22
18111601;3;2018-11-23
18111701;6;2018-11-24
18111801;4;2018-11-25
18111901;3;2018-11-26
18120101;2;2018-12-01
18120201;6;2018-12-02
18120301;6;2018-12-03
