NoFilm;AnneeSortie;Categorie;Format;DateMAJ;NoUtilisateurMAJ;Resume;DureeMinutes;FilmOriginal;ImagePochette;NbDisques;TitreFrancais;TitreOriginal;VersionEtendue;NoRealisateur;NoProducteur;XTra
181001;1979;20;3;2018-10-01;3;"Le capitaine Willard (Martin Sheen) est envoyé au Cambodge avec pour mission d'exécuter le colonel Kurtz (Marlon Brando), un officier américain déserteur qui a perdu la raison et s'est improvisé souverain d'une tribu indigène. En descendant la rivière qui le mènera à son but, Willard rencontre le lieutenant colonel Kilgore (Robert Duvall) dont l'amour de la guerre n'a d'égal que sa passion pour le "" surf "".";217;;181001.jpg;3;C'est l'apocalypse;Apocalypse now;1;1;1;http://www.cinemamontreal.com/films/3114/C_est_l_Apocalypse.html
181002;2004;15;3;2018-10-01;4;En 2035, la couche d'ozone a été détruite par le gaz carbonique des voitures, l'industrie chimique et le pouch-pouch en ca-cane. La Terre cuit sous les rayons du soleil et les compagnies de crême solaire s'enrichissent. Il faut trouver une nouvelle planète pour six milliards de tatas. Le capitaine Charles Patenaude et son équipage s'embarquent ainsi sur le vaisseau spatial Romano Fafard, en route vers les confins de l'univers !;109;1;181002.jpg;1;Dans une galaxie près de chez vous;Dans une galaxie près de chez vous;0;2;;http://www.cinemamontreal.com/films/5918/Dans_une_galaxie_pres_de_chez_vous.html
181003;2007;50;1;2018-10-01;6;;122;1;181003.jpg;1;Danny Ocean 13;Ocean's thirteen;0;3;2;http://www.cinemamontreal.com/films/10648/Danny_Ocean_13.html
181004;2004;19;1;2018-10-01;6;Michael Moore présente avec scepticisme le Président George W. Bush et ses propres conseillers. Prenant pour point de départ l'élection controversée de 2000, le réalisateur retrace l'improbable ascension d'un médiocre pétrolier texan devenu maître du monde libre. Puis il ouvre la boîte de Pandore du Président et révèle les liens personnels et financiers qui unissent la famille Bush à celle de Ben Laden. Michael Moore y dénonce également les méfaits du Patriot Act et les souffrances provoquées pa;110;1;181004.jpg;1;Fahrenheit 9/11 v.f.;Fahrenheit 9/11;0;4;3;http://www.cinemamontreal.com/films/6399/Fahrenheit_9_11_v_f.html
181005;;;;2018-10-02;2;;;;;;Opération G-Force;G-Force;;;;http://www.cinemamontreal.com/films/13879/G-Force.html
181006;2008;30;3;2018-10-02;2;10 000 ans avant J-C, un homme de 21 et sa tribu luttent pour survivre en chassant les mammouths. Quand les chasseurs de son clan et la princesse dont il est tombé amoureux sont faits prisonniers, il se lance à leur secours...;109;1;181006.jpg;1;10 000 av. J.-C.;10,000 B.C.;0;5;4;http://www.cinemamontreal.com/films/10687/10_000_av__J_-C.html
181007;;;;2018-10-05;3;;;;;;Ghandi;;;;;http://www.cinemamontreal.com/films/3601/Gandhi.html
181008;2005;30;3;2018-10-07;4;25 décembre 1960: Zachary Beaulieu vient au monde, quatrième d'une famille de cinq garçons. Famille de banlieue sans histoire avec une mère aimante et un père un peu bourru, mais fier de ses garçons. Le début d'une belle enfance, où se succèdent les Noël et les anniversaires avec l'éternel solo du père Beaulieu chantant Aznavour, Emmène-moi au bout de la terre, les séances de lavage de voiture en plein air et les visites au casse-croûte pour Zac, le chouchou de son père pour une fois.;127;1;181008.jpg;1;C.R.A.Z.Y.;C.R.A.Z.Y.;0;6;5;http://www.cinemamontreal.com/films/8020/C_R_A_Z_Y.html
181009;;;;2018-10-09;3;;;;;;G.I. Joe: Le réveil du cobra;;;;;http://www.cinemamontreal.com/films/16921/G_I__Joe__Le_reveil_du_cobra.html
181010;;;;2018-10-10;3;;;;;;Les gangs de New-York;;;;;http://www.cinemamontreal.com/films/2975/Les_Gangs_de_New-York.html
181011;2000;18;3;2018-10-11;6;Cruella De Vil (Glenn Close) est libérée de prison pour bonne conduite, avec la promesse que plus jamais elle n'aura affaire avec la fourrure. Promesse rapidement oubliée alors qu'elle échafaude une magouille pour se procurer l'ultime manteau en peaux de dalmatiens.;100;1;;1;102 Dalmatiens vf.;102 Dalmatians;0;7;6;http://www.cinemamontreal.com/films/2/102_Dalmatiens_vf.html
181012;2010;15;1;2018-10-23;4;Benoit, un comédien qui survit grâce à un emploi de barman, suit le conseil de son frère Frank, un ex-joueur de hockey devenu son agent. Il décide de se faire pousser la barbe pour un rôle dans un souper-spectacle. Sa blonde Vicky, une ex-dramaturge devenue bibliothécaire, accepte mal cette nouvelle lubie car elle retarde leur projet d'acheter le condo de leurs amis Caro et Vincent, qui tiennent un salon de coiffure et d'esthétique. Mais la barbe de Benoit semble magique: il commence à avoir du ;100;1;181012.jpg;1;Le baiser du barbu;Le baiser du barbu;0;8;7;http://www.cinemamontreal.com/films/36092/Le_Baiser_du_barbu.html
181013;2007;15;3;2018-10-24;2;Cadavres raconte, sous la forme d'une comédie cynique résolument moderne, l'éternelle histoire du péché originel. Le jour de la mort de sa mère, Raymond Marchildon appelle à la rescousse Angèle, sa soeur aînée. Il réveille alors la conscience qu'il lui manquait, ainsi que les souvenirs d'un paradis perdu: l'innocence de leur enfance. Le frère et la soeur deviennent rapidement inséparables dans un monde de plus en plus absurde où les cadavres s'accumulent dans le sous-sol de la maison. Voilà que ;117;1;181013.jpg;1;Cadavres;Cadavres;0;9;8;http://www.cinemamontreal.com/films/12015/Cadavres.html
